Gene name	NCBI gene ID	KEGG Pathway and Enzyme ID
IQCK	124152	
PODXL2	50512	
TNFRSF8	943	
SRD5A2	6716	00140+1.3.1.22
SRD5A2	6716	00905+1.3.1.22
RNF39	80352	
GNA13	10672	
AC004593.3	1124	
SPDYC	387778	
OSBPL10	114884	
GDF6	392255	
FRAT1	10023	
SYBU	55638	
HEPACAM2	253012	
CHN2	1124	
ENPP2	5168	00565+3.1.4.39
IRF5	3663	
HNRNPA2B1	3181	
KDM7A	80853	
TMEM219	124446	
RSPRY1	89970	
ZNF343	79175	
DDX27	55661	
ENPP2	5168	
ZNF860	344787	
AL049650.1		
FOXD4L5	653427	
IMMP1L	196294	
CDC42BPG	55561	05165+2.7.11.1
CDC42BPG	55561	04150+2.7.11.1
CDC42BPG	55561	04926+2.7.11.1
CDC42BPG	55561	04714+2.7.11.1
CDC42BPG	55561	04151+2.7.11.1
KLF15	28999	
KIFC1	3833	
KBTBD6	89890	
GPRC5B	51704	
IGLV1-40		
IGLV5-37		
FAM204A	63877	
TNFRSF1B	7133	
KIF23	9493	
LY6G5C	80741	
NOL7	51406	
BEND4	389206	
KNOP1	400506	
OR10H4	126541	
NSG1	27065	
SGSH	6448	
CASP2	835	
THADA	63892	
SNRPB	6628	
EPB41L4A	64097	
RANBP9	10048	
DNAJC24	120526	
GLRA3	8001	
CBX3	11335	
FGD5	152273	
CLCN7	1186	
GAN	8139	
CPT1B	1375	00071+2.3.1.21
BBS4	585	
PCYT2	5833	
BPGM	669	00010+5.4.2.11
BPGM	669	00680+5.4.2.11
BPGM	669	00260+5.4.2.11
PSMB3	5691	
ATP6AP1	537	
CPT1B	1375	
SLC2A8	29988	
ANKS6	203286	
LRRC55	219527	
CCDC92	80212	
PDE3B	5140	
NANOGP8	388112	
MID1	4281	
CCL18	6362	
PAQR5	54852	
STX18	53407	
INPP5A	3632	
MAPK8IP2	23542	
HOXD9	3235	
ELMO3	79767	
TMPRSS11F	389208	
MPV17L2	84769	
HOXD8	3234	
NPB	256933	
NKX6-2	84504	
AC093830.1	51802	
DNAH10	196385	
MMAA	166785	
IFT122	55764	
PRAF2	11230	
MSLNL		
ZCCHC9	84240	
APP	351	
TDO2	6999	00380+1.13.11.11
TMPRSS11D	9407	
HOXD1	3231	
TRIM31	11074	
PDPK1	5170	05165+2.7.11.1
PDPK1	5170	04150+2.7.11.1
PDPK1	5170	04926+2.7.11.1
PDPK1	5170	04714+2.7.11.1
PDPK1	5170	04151+2.7.11.1
RAB3A	5864	
CHKB-CPT1B		
HERPUD1	9709	
DDX39A	10212	
IP6K2	51447	
C3orf84	646498	
RP1L1	94137	
PDPK1	5170	
TNFSF13	8741	
NDUFS8	4728	
ZNFX1	57169	
C8orf74	203076	
GIGYF1	64599	
HAUS8	93323	
PATE1	160065	
YES1	7525	04660+2.7.10.2
PIP4K2B	8396	
MTRF1	9617	
TMPRSS11A	339967	
CR788250.1	3126	
CHST12	55501	
FGFR3	2261	
ZDHHC20	253832	
BARD1	580	
RPA4	29935	
GRIFIN	402635	
NR2C2	7182	
GNRHR	2798	
TVP23B	51030	
KBTBD7	84078	
NPIPA1	102724993	
NPIPA1	9284	
HDHD5	27440	
DUSP14	11072	04658+3.1.3.16
DUSP14	11072	04660+3.1.3.16
CILP	8483	
MEGF6	1953	
KIF3C	3797	
CCL3	6348	
PRKDC	5591	05165+2.7.11.1
PRKDC	5591	04150+2.7.11.1
PRKDC	5591	04926+2.7.11.1
PRKDC	5591	04714+2.7.11.1
PRKDC	5591	04151+2.7.11.1
PXDNL	137902	
TMEM245	23731	
NBPF3	84224	
PXDNL	137902	00940+1.11.1.7
PRKDC	5591	
AC009336.2	3233	
PYCR3	65263	00330+1.5.1.2
HOXD3	3232	
APLNR	187	
ACOT12	134526	
PPIF	10105	
C11orf1	64776	
SCARF2	91179	
CPVL	54504	
PINX1	54984	
PYCR3	65263	
HOXD4	3233	
OR2AT4	341152	
PRR11	55771	
SERHL2	253190	
RPL39L	116832	
TAF2	6873	
KLHL22	84861	
STAT5B	6777	
FRRS1L	23732	
SAMM50	25813	
C10orf95	79946	
FDXACB1	91893	00970+6.1.1.20
SMG8	55181	
FDXACB1	91893	
NUPR2	389493	
POP7	10248	
MUC2	4583	
NECAP2	55707	
AC099850.2		
PTDSS2	81490	
AP001781.2		
TMEM200C	645369	
PTPRN2	5799	
ELOF1	84337	
AC007731.4		
SOX7	83595	
CFAP100	348807	
TNFSF12	8742	
ADAM29	11086	
C4orf51	646603	
OR2C1	4993	
CHST10	9486	
ETV1	2115	
RTP1	132112	
KCTD9	54793	
VKORC1L1	154807	
ADGRB1	575	
TRPC3	7222	
ALG9	79796	
DIAPH2	1730	
TNFSF12-TNFSF13	407977	
DGCR2	9993	
ZNF827	152485	
IFI27L1	122509	
LNP1	348801	
MYO7A	4647	
GOLIM4	27333	
CPTP	80772	
OR9Q2	219957	
CAMSAP3	57662	
HLA-DQA1	3117	
FAHD2A	51011	
OR1S2	219958	
TBC1D2B	23102	
PRDM7	11105	
MBD4	8930	
LETM1	3954	
PXMP4	11264	
TOMM70	9868	
MRPS11	64963	
MED14	9282	
EPB41L4B	54566	
EFEMP1	2202	
IGFBP2	3485	
TMPRSS6	164656	
PPY	5539	
HUNK	30811	05165+2.7.11.1
HUNK	30811	04150+2.7.11.1
HUNK	30811	04926+2.7.11.1
HUNK	30811	04714+2.7.11.1
HUNK	30811	04151+2.7.11.1
EPO	2056	
HUNK	30811	
FRAT2	23401	
MRAS	22808	
CCDC36	339834	
XBP1	7494	
AC013489.1		
OR1S1	219959	
MCUR1	63933	
MRPL46	26589	
MRPS25	64432	
UGGT1	56886	
DET1	55070	
DSCC1	79075	
ING3	54556	
PARVB	29780	
DPH6	89978	
IGLV1-36		
MTRNR2L4	100463285	
NAE1	8883	
PGAP1	80055	
PRLHR	2834	
TNKS1BP1	85456	
CST2	1470	
MATK	4145	04660+2.7.10.2
ZNF597	146434	
PCCB	5096	
SLC1A3	6507	
CFAP47	286464	
OSBPL2	9885	
SHISA3	152573	
MYOM2	9172	
PTPRC	5788	
PEBP4	157310	
TUBB6	84617	
PCGF3	10336	
MAZ	4150	
PNPLA3	80339	00561+3.1.1.3
EGR3	1960	
OR12D2	26529	
MASP2	10747	
PNPLA3	80339	
OR12D3	81797	
PHF1	5252	
MATK	4145	
DDB2	1643	
PATE2	399967	
ACTR1A	10121	
ACP5	54	00740+3.1.3.2
AL109811.3		
CYP2R1	120227	
AGAP3	116988	
ABCA12	26154	
AC120114.4		
PAGR1	79447	
CAPN1	823	
RAF1	5894	
ACP5	54	
DNAJB9	4189	
ZBP1	81030	
IL16	3603	
LIF	3976	
TMC2	117532	
AFG3L2	10939	
BAG1	573	
RHOBTB2	23221	
MVP	9961	
PPA2	27068	00190+3.6.1.1
ZNF627	199692	
STK39	27347	05165+2.7.11.1
STK39	27347	04150+2.7.11.1
STK39	27347	04926+2.7.11.1
STK39	27347	04714+2.7.11.1
STK39	27347	04151+2.7.11.1
MFSD13A	79847	
LY96	23643	
COMTD1	118881	
ZNF341	84905	
ENTPD1	953	
CLUAP1	23059	
PRPSAP2	5636	00030+2.7.6.1
PRPSAP2	5636	00230+2.7.6.1
NUDT15	55270	
SPINK4	27290	
RASSF2	9770	
ZNF618	114991	
GATD3A	102724023	
GATD3A	8209	
C16orf90	646174	
CC2D2B	387707	
SSRP1	6749	
MPP7	143098	00230+2.7.4.8
INTS2	57508	
MPP7	143098	
PRRT2	112476	
UBAP1	51271	
SMIM2	79024	
CRBN	51185	
PPA2	27068	
L3MBTL4	91133	
TSPOAP1	9256	
C17orf78	284099	
PNPLA8	50640	
MCU	90550	
SPTBN2	6712	
GH2	2689	
TNFRSF10B	8795	
KIF24	347240	
ZNRF3	84133	
LAIR1	3903	
RAB10	10890	
AMBP	259	
STARD5	80765	
PLLP	51090	
AC009133.6		
TSEN2	80746	
RBMY1E	378950	
PPP1R9B	84687	
FGD3	89846	
OSM	5008	
ZBTB7C	201501	
THAP5	168451	
ARL2BP	23568	
ZFAND2B	130617	
TMEM45A	55076	
SUCLA2	8803	
TM2D3	80213	
SUCLA2	8803	00720+6.2.1.5
SUCLA2	8803	00640+6.2.1.5
SUCLA2	8803	00660+6.2.1.5
SUCLA2	8803	00020+6.2.1.5
SGCA	6442	
TRNT1	51095	
TPRG1L	127262	
PATE3	100169851	
CUTA	51596	
POLL	27343	00240+2.7.7.7
POLL	27343	00230+2.7.7.7
IQSEC3	440073	
ACVR1	90	
CCNJ	54619	
EDEM2	111089941	00513+3.2.1.113
EDEM2	55741	00513+3.2.1.113
EDEM2	111089941	00510+3.2.1.113
EDEM2	55741	00510+3.2.1.113
POU5F2	134187	
TAS1R3	83756	
TMEM164	84187	
AL365273.2		
MKRN2OS	100129480	
TARDBP	23435	
ATP6V0D2	245972	
UQCRB	7381	
CALCB	797	
PSKH2	85481	
FRMD7	90167	
OR10Q1	219960	
RCAN1	1827	
RHOT2	89941	
OR10W1	81341	
GDI1	2664	
PRPSAP2	5636	
SLCO2B1	11309	
MKRN2	23609	
PCMTD1	115294	
SLC12A7	10723	
ZMYND10	51364	
SAXO1	158297	
CLCN1	1180	
PYY	5697	
FAM172A	83989	
CALCA	796	
OR51L1	119682	
POLL	27343	
RNF43	54894	
DVL1	1855	
EHD1	10938	
EZH1	2145	00310+2.1.1.43
OR52J3	119679	
OR52E2	119678	
RAB19	401409	
ZCCHC24	219654	
SALL3	27164	
NAGS	162417	00220+2.3.1.1
P2RY14	9934	
AC004687.2		
WNT11	7481	
PARP16	54956	
ADAMTSL1	92949	
GPR87	53836	
GGT6	124975	00480+2.3.2.2+3.4.19.13
GGT6	124975	00430+2.3.2.2
GGT6	124975	00460+2.3.2.2
SUPT4H1	6827	
TM4SF1	4071	
P2RY13	53829	
GPR171	29909	
PATE4	399968	
WASHC2A	387680	
IGSF10	285313	
UBE2B	7320	
TNP1	7141	
DPCD	25911	
RTL9	57529	
MUC4	4585	
EZH1	2145	
CSRNP3	80034	
IGFBP5	3488	
ZXDC	79364	
HCCS	3052	00860+4.4.1.17
NTM	50863	
TRIM43B	653192	
AC008397.2		
GRB7	2886	
AMMECR1	9949	
NAA60	79903	
TMEM151A	256472	
TBC1D22A	25771	
CSH1	1442	
EIF5AL1	143244	
CD248	57124	
SLC37A3	84255	
SLC28A2	9153	
NAP1L4	4676	
SHCBP1	79801	
TCIRG1	10312	
MED12L	116931	
MLXIPL	51085	
CDCA2	157313	
GUSB	2990	00600+3.2.1.23
GUSB	2990	00531+3.2.1.23
GUSB	2990	00604+3.2.1.23
GUSB	2990	00511+3.2.1.23
GUSB	2990	00052+3.2.1.23
LSM6	11157	
SMARCAD1	56916	
NBPF1	55672	
GUSB	2990	
ASAH2	56624	00600+3.5.1.23
STARD8	9754	
ASAH2	56624	
REELD1	345051	
TMPRSS15	5651	
ADCYAP1	116	
PKN1	5585	
SFTPA2	729238	
TOX3	27324	
CELF5	60680	
MAP1A	4130	
GOLPH3	64083	
CHKA	1119	
OR5B17	219965	
ZNF503	84858	
THAP12	5612	
SCART1		
OR5B3	441608	
PRR5L	79899	
DEPTOR	64798	
NMS	129521	
GVQW3	100506127	
PAX5	5079	
MIS18A	54069	
CA7	766	00910+4.2.1.1
CA7	766	
IGDCC3	9543	
GPR148	344561	
GDAP1	54332	
P2RY12	64805	
DKK3	27122	
SYCE1	93426	
SLC7A13	157724	
AMER3	205147	
NLRC3	197358	
BRMS1	25855	
JPH1	56704	
ODAM	54959	
PDE4C	5143	
FAM131B	9715	
CPED1	79974	
LRRC29	26231	
KIF12	113220	
MRAP	56246	
PMEPA1	56937	
C22orf31	25770	
ELP6	54859	
ZNF174	7727	
RNF182	221687	
FAM47C	442444	
ABCC1	4363	
VIRMA	25962	
CHRM5	1133	
CYP2E1	1571	
RIN1	9610	
RSBN1L	222194	
AC008397.1	729966	
RPL14	9045	
DLG4	1742	00230+2.7.4.8
AVEN	57099	
CCNB1	891	
CERS6	253782	
ZSCAN32	54925	
TRIM43	129868	
URB1	9875	
STK38	11329	
ABTB1	80325	
P2RX3	5024	
PKN1	5585	04070+2.7.11.13
CHMP4B	128866	
FADS3	3995	
CDKN2AIPNL	91368	
RPL3	6122	
CSHL1	1444	
XAB2	56949	
GPC2	221914	
DLG4	1742	
SRSF3	6428	
GAL3ST4	79690	
TRABD2A	105374836	
TRABD2A	129293	
EFNB1	1947	
KREMEN1	83999	
POTEM	641455	
ARHGAP28	79822	
OR52E1	79296	
CD83	9308	
AC025283.3		
PRY2	442862	
IFT52	51098	
CCDC57	284001	
RCOR2	283248	
FHL1	2273	
TMSB10	9168	
ACSBG1	23205	
MASP1	5648	
TTC39C	125488	
CORO1A	11151	
USP4	107986084	
USP4	7375	
TMEM208	29100	
ZNF280B	140883	
MCTS1	28985	
CD79B	974	
FDXR	2232	
SH2D7	646892	
TOPAZ1	375337	
UROC1	131669	00340+4.2.1.49
IL2RB	3560	
AC127029.3		
NTRK2	4915	
RAP2C	57826	
OIT3	170392	
SMTNL2	342527	
PJA1	64219	
C1QTNF6	114904	
B3GALT4	8705	
C3orf62	375341	
SUSD3	203328	
GH1	2688	
OR5B2	390190	
FLOT2	2319	
OR52A5	390054	
OR5B12	390191	
DVL2	1856	
STAT5A	6776	
KDM4C	23081	
KAT14	57325	
PLA2G12B	84647	00592+3.1.1.4
PLA2G12B	84647	00564+3.1.1.4
PLA2G12B	84647	00591+3.1.1.4
PLA2G12B	84647	00590+3.1.1.4
PLA2G12B	84647	00565+3.1.1.4
NOP56	10528	
ANKRD20A2	441430	
LFNG	3955	
MYO9B	4650	
PUS3	83480	
LFNG	3955	00514+2.4.1.222
AF241726.2		
IDH3A	3419	
ADGRG7	84873	
CFAP46	54777	
HYLS1	219844	
HTR7	3363	
CCDC85A	114800	
PET117	100303755	
NOSTRIN	115677	
OR52A1	23538	
C1GALT1C1	29071	
PDCL3	79031	
TTYH1	57348	
CYBB	1536	
ARC	23237	
CT47B1	643311	
AC008763.2		
SH2D4A	63898	
SMIM39		
TNFRSF11A	8792	
PRG3	10394	
PNOC	5368	
PTX4	390667	
TMEM60	85025	
RDH13	112724	
PCP2	126006	
SLC10A7	84068	
G6PC2	57818	00052+3.1.3.9
G6PC2	57818	00010+3.1.3.9
G6PC2	57818	00500+3.1.3.9
AC015688.4		
G6PC2	57818	
USP6NL	9712	
CCDC27	148870	
ATP23	91419	
STK11	6794	
FGFR1	2260	
FDCSP	260436	
ADAM9	8754	
STXBP2	6813	
SPC25	57405	
TMEM101	84336	
ARHGEF4	50649	
CYP20A1	57404	
SCN5A	6331	
STOM	2040	
IFI27	3429	
MSL1	339287	
MBNL3	55796	
ZNF619	285267	
STK11	6794	05165+2.7.11.1
STK11	6794	04150+2.7.11.1
STK11	6794	04926+2.7.11.1
STK11	6794	04714+2.7.11.1
STK11	6794	04151+2.7.11.1
KSR1	8844	
BHLHE40	8553	
KIAA1328	57536	
SLFN12	55106	
DDX25	29118	
AC008162.2		
DPY19L1	23333	
SPATA20	64847	
GP6	51206	
CIB2	10518	
ZNF620	253639	
TSTA3	7264	
TFDP2	7029	
CBARP	255057	
NAA40	79829	
YTHDC1	91746	
TOX	9760	
CSN3	1448	
FAM160A1	729830	
CABS1	85438	
CENPH	64946	
SSTR3	6753	
CT47A12	100507170	
SMR3A	26952	
PRRC1	133619	
BRAT1	221927	
SFTPA1	653509	
TSTA3	7264	00520+1.1.1.271
TSTA3	7264	00051+1.1.1.271
PAIP1	10605	
UGP2	7360	00040+2.7.7.9
UGP2	7360	00052+2.7.7.9
UGP2	7360	00500+2.7.7.9
UGP2	7360	00520+2.7.7.9
NAA16	79612	
AMELX	266	
AMELX	265	
FBXO16	157574	
CT47A11	255313	
SLC6A19	340024	
RPGR	6103	
SNURF	8926	
DPY30	84661	
UGP2	7360	
CT47A10	728036	
IFI27L2	83982	
AC097634.4		
VPS37D	155382	
TM4SF4	7104	
ABHD18	80167	
IGDCC4	57722	
C3orf22	152065	
FAM181B	220382	
WDR4	10785	
JRK	8629	
MTMR12	54545	
XKR6	286046	
UBE3A	7337	
CPLX1	10815	
CHST13	166012	
HYPM	25763	
RGS9	8787	
TCF7L2	6934	
EIF4E3	317649	
ZNF395	55893	
OTC	5009	00220+2.1.3.3
OTC	5009	
CT47A9	728042	
AL121578.2		
PSCA	8000	
WWP1	11059	
C1GALT1	56913	00512+2.4.1.122
CT47A8	728049	
PRMT5	10419	
CT47A7	653282	
OR5B21	219968	
SRPX	8406	
PET100	100131801	
CALD1	800	
MEMO1	51072	
CHD1	1105	
ZFR2	23217	
TCAIM	285343	
EPN3	55040	
VPS35	55737	
LANCL3	347404	
CCL22	6367	
LETM2	137994	
AC012184.2		
RNF135	84282	
FHOD3	80206	
RMDN1	51115	
JARID2	3720	
CX3CL1	6376	
OTUB1	55611	
KCNV1	27012	
CHRDL1	91851	
ROBO2	6092	
GALNT12	79695	
CROCC	9696	
ARHGAP6	395	
FO681492.1	102724488	
VIT	5212	
ICOSLG	23308	
CIRBP	1153	
SYTL5	94122	
PI15	51050	
VPS50	55610	
TPGS2	25941	
NUDT2	318	00230+3.6.1.17
NUDT2	318	00240+3.6.1.17
ST18	9705	
LPXN	9404	
COX8A	1351	
C8orf82	414919	
MICA	100507436	
DYNLT3	6990	
FLRT1	23769	
AP000721.1		
TAS2R60	338398	
ALOX15	246	
CCL17	6361	
TAS2R41	259287	
LRRC14	9684	
MYORG	57462	
OR51V1	283111	
FAM170A	340069	
MACROD1	28992	
ZCCHC14	23174	
TSPAN7	7102	
LGALS9	3965	
SERP2	387923	
NSD2	7468	00310+2.1.1.43
NSD2	7468	
C4B	721	
CT47A6	728062	
TP73	7161	
EPHA1	2041	
LRRC24	441381	
ZCCHC2	54877	
APOL4	80832	
CT47A5	728072	
RBMY1F	159163	
CT47A4	728075	
MCEE	84693	
MCEE	84693	00640+5.1.99.1
MCEE	84693	00630+5.1.99.1
MCEE	84693	00280+5.1.99.1
MCEE	84693	00720+5.1.99.1
ADRM1	11047	
CT47A3	728082	
CACUL1	143384	
PRRG1	5638	
AC112229.3		
MTERF3	51001	
TFG	10342	
XK	7504	
MYBL2	4605	
SEC11C	90701	
TCF12	6938	
SMR3B	10879	
LIMS4	100288695	
UPP2	151531	00983+2.4.2.3
UPP2	151531	00240+2.4.2.3
UPP2	151531	00240+2.4.2.1
UPP2	151531	00760+2.4.2.1
UPP2	151531	00230+2.4.2.1
ZYX	7791	
OPRPN	58503	
MTMR9	66036	
NPY4R2	100996758	
AC007906.2	105371267	
DDX19B	11269	
GTSF1L	149699	
OR10AC1	392133	
COL1A1	1277	
FAM25C	644054	
BST1	683	00760+3.2.2.6
GPATCH8	23131	
NDUFAB1	4706	
CT47A2	728090	
SPPL2A	84888	
EIF2S2	8894	
CTXN3	613212	
CT47A1	728096	
AC090517.4	54816	
MTX2	10651	
STX1A	6804	
LAMA5	3911	
CCDC192	728586	
ZNF621	285268	
PTPN3	5774	
FAM155B	27112	
POU3F3	5455	
NANOS1	340719	
MED13	9969	
UBE2C	11065	
ABCC12	94160	
OTULINL	54491	
IDH3G	3421	
HPGDS	27306	
RALA	5898	
CEP112	201134	
TNPO3	23534	
ANKRD10	55608	
USE1	55850	
WRAP73	49856	
ARHGEF3	50650	
TBC1D8	11138	
ZNF280D	54816	
GRP	2922	
MRPS9	64965	
TRAF6	7189	
ZFP91	80829	
AC004805.1		
CNTF	1270	
CCDC148	130940	
ZFP91-CNTF		
RBM23	55147	
RAG2	5897	
ADAM32	203102	
CLIC6	54102	
RTN4	57142	
RAC2	5880	
RALY	22913	
APOL2	23780	
RPP30	10556	
ONECUT3	390874	
SPATA12	353324	
SSR4	6748	
AXIN2	8313	
FBXL5	26234	
EIF3A	8661	
ADPGK	83440	
RAX	30062	
ARAP2	116984	
LYPLA1	10434	
CMIP	80790	
GLUD2	2747	
PHTF2	57157	
C9orf24	84688	
DDX60	55601	
TMEM135	65084	
DAB2IP	153090	
ABLIM2	84448	
C11orf74	119710	
BUD23	114049	
GALNT3	2591	
STRN	6801	
MICU2	221154	
PIKFYVE	200576	00562+2.7.1.150
PIKFYVE	200576	04070+2.7.1.150
RAG1	5896	
RPL31	6160	
MUC7	4589	
PIKFYVE	200576	
CHMP5	51510	
ICE2	79664	
SLC39A12	221074	
NCAM2	4685	
F7	2155	
SYNGR1	9145	
LMAN2L	81562	
DNAJC30	84277	
FRMPD2	143162	
TMPRSS3	64699	
HSF5	124535	
CA8	767	00910+4.2.1.1
GREB1	9687	
CASTOR3	352954	
ATCAY	85300	
COMMD2	51122	
ZNF79	7633	
AC009286.3		
SGMS1	259230	
PRG2	5553	
TNNC2	7125	
CASP10	843	
BOLA2B	654483	
BOLA2B	552900	
FAM200B	285550	
NPAS2	4862	
PTGER1	5731	
CDKN1A	1026	
ITGAX	3687	
FUT11	170384	
WWTR1	25937	
GOLGA6L10	647042	
NR1H3	10062	
ZNF280A	129025	
DDX19A	55308	
NIPBL	25836	
C11orf80	79703	
HBB	3043	
CXCL11	6373	
PHLPP1	23239	04658+3.1.3.16
PHLPP1	23239	04660+3.1.3.16
CNOT11	55571	
JADE2	23338	
ANO1	55107	
PHLPP1	23239	
TAOK2	9344	
MISP	126353	
LSM12	124801	
GPM6A	2823	
RRAGA	10670	
PUM3	9933	
FZD2	2535	
SLX1A	548593	
TBX20	57057	
ECHDC3	79746	
KIAA1109	84162	
TSC22D1	8848	
RAB44	401258	
GBX1	2636	
KIAA0825	285600	
ART3	419	
CRISPLD1	83690	
HAUS2	55142	
PALB2	79728	
SEC24C	9632	
AC124312.1		
KCNV2	169522	
GDPD1	284161	
MYLK2	85366	
SULT1A3	6818	
OTULIN	90268	
RNF113B	140432	
CPLX4	339302	
SLF1	84250	
KLHDC4	54758	
CACNA2D2	9254	
SLC43A3	29015	
COQ9	57017	
ACACA	31	00720+6.4.1.2
ACACA	31	00620+6.4.1.2
ACACA	31	00640+6.4.1.2
ACACA	31	00061+6.4.1.2
ACACA	31	00254+6.4.1.2
SLC6A18	348932	
LY6K	54742	
ATG2A	23130	
TMEM115	11070	
THEM6	51337	
ZNF133	7692	
LMAN1	3998	
CYYR1	116159	
CYB561D2	11068	
ADAMTSL3	57188	
AP000781.2		
SAT2	112483	00330+2.3.1.57
CETP	1071	
MTMR4	9110	
HSD17B4	3295	
RCE1	9986	
SLURP1	57152	
STAG3	10734	
COL28A1	340267	
ACACA	31	
Z84492.1		
PRKAR2A	5576	
SLC12A2	6558	
GDPD4	220032	
SAT2	112483	
JPH3	57338	
IMMP2L	83943	
ALPL	249	00790+3.1.3.1
MEIOC	284071	
RNMT	8731	
CTAGE15	441294	
SOX15	6665	
EVI2A	2123	
ESYT3	83850	
LRRN3	54674	
MPDU1	9526	
FARP1	10160	
EVI2B	2124	
CCDC43	124808	
EBF2	64641	
HBD	3045	
ACP2	53	
KCMF1	56888	
LYPD2	137797	
NNT	23530	
RPL12	6136	
ATP5F1D	513	
FAM210A	125228	
PVRIG	79037	
RNH1	6050	
CIAPIN1	57019	
RXFP1	59350	
TCAF2	285966	
SEPT9	10801	
TARSL2	123283	00970+6.1.1.3
FGF9	2254	
NUDT16L1	84309	
CXCL10	3627	
NDUFV3	4731	
MNT	4335	
TCAF2C		
TARSL2	123283	
ORC6	23594	
SLC16A3	9123	
GOLGA6L10	101927601	
SLC43A2	124935	
ASB10	136371	
REEP5	7905	
NPRL2	10641	
TRIM40	135644	
SNRPN	6638	
C20orf85	128602	
CEP170	645455	
CEP170	9859	
LINC01556		
MFSD8	256471	
MXRA8	54587	
ERAS	3266	
CSNK1D	1453	
PRAME	23532	
PSMC3	5702	
RUVBL1	8607	
POLDIP3	84271	
NNT	23530	00760+1.6.1.2
NNT	23530	00430+1.4.1.1
NNT	23530	00250+1.4.1.1
MYPN	84665	
CST5	1473	
PPP4R4	57718	
PCSK1N	27344	
CPNE5	57699	
MCTP1	79772	
RGPD6	729540	
TMEM204	79652	
SLFN13	146857	
ANKRD16	54522	
SRP19	6728	
MED15	51586	
IQCA1L	392843	
GATB	5188	
FAM168B	130074	
NF1	4763	
OXR1	55074	
TELO2	9894	
STK24	8428	
ZNF623	9831	
GATM	2628	
TOX2	84969	
ARL8B	55207	
AEN	64782	
CSPG5	10675	
CARD19	84270	
ANKRD44	91526	
KBTBD12	166348	
CCDC178	374864	
DOK4	55715	
CDK13	8621	
EEFSEC	60678	
EDEM1	9695	
ABCF2	10061	
SERPINA10	51156	
ATP9A	10079	
CBSL	102724560	00260+4.2.1.22
CBSL	102724560	00270+4.2.1.22
CNNM4	26504	
SPATA5L1	79029	
ZFR	51663	
SCN4B	6330	
EDEM1	9695	00513+3.2.1.113
EDEM1	9695	00510+3.2.1.113
AMTN	401138	
MARVELD2	153562	
APC	324	
NUTM2B	729262	
FAM50A	9130	
AC021097.2		
FOXS1	2307	
GPR45	11250	
SLC23A2	9962	
KRT12	3859	
LENG8	114823	
SEC61A1	29927	
NTSR2	23620	
LENG9	94059	
IFT140	9742	
LYNX1	66004	
APOL1	8542	
MED4	29079	
GOLGA6L9	440295	
RGS19	10287	
SLURP2	432355	
ATP8B3	148229	
ATP9B	374868	
LYNX1-SLURP2	111188157	
EDA	1896	
G6PC3	92579	00052+3.1.3.9
G6PC3	92579	00010+3.1.3.9
G6PC3	92579	00500+3.1.3.9
G6PC3	92579	
CYTH4	27128	
POLR2C	5432	00230+2.7.7.6
POLR2C	5432	00240+2.7.7.6
CCDC33	80125	
FXR2	9513	
SLC35G2	80723	
DTHD1	401124	
NPIPB3	23117	
MPHOSPH10	10199	
DMAC1	90871	
MGLL	11343	
POLR2C	5432	
CD68	968	
SLC22A18AS	5003	
HERPUD2	64224	
MBTD1	54799	
OCLN	100506658	
ANKRD60	140731	
SAR1B	51128	
TGFBRAP1	9392	
CWC25	54883	
AURKAIP1	54998	
AADAC	13	
KRT20	54474	
HNF4G	3174	
EIF4A1	1973	
STARD9	57519	
AC008575.1		
SUCNR1	56670	
KCTD12	115207	
ANKH	56172	
CHTF18	63922	
RAB3IL1	5866	
NUFIP1	26747	
LY6D	8581	
GPALPP1	55425	
VSTM5	387804	
EVA1C	59271	
ADA2	51816	00230+3.5.4.4
SEC24A	10802	
CCL3L3	414062	
CCL3L3	6349	
DHRS13	147015	
COL15A1	1306	
ADA2	51816	
SI	6476	
AKAP2	11217	
GNG13	51764	
CYP21A2	1589	
CBWD5	220869	
GGTLC1	92086	00480+2.3.2.2+3.4.19.13
GGTLC1	92086	00430+2.3.2.2
GGTLC1	92086	00460+2.3.2.2
P4HA1	5033	00330+1.14.11.2
FRG2B	441581	
SCN2B	6327	
F10	2159	
TRIM10	10107	
ITGAD	3681	
SCN10A	6336	
C17orf98	388381	
RBMY1J	378951	
EFCAB3	146779	
PALM2-AKAP2	445815	
PELP1	27043	
CCL4L2	9560	
LRMDA	83938	
RPUSD1	113000	
AC068946.2		
CYP11B2	1585	00140+1.14.15.4
CAMTA1	23261	
GML	2765	
PALM2	114299	
CCBE1	147372	
NMRK2	27231	
ACPP	55	
C17orf47	284083	
CYP11B1	1584	
SCARF1	8578	
MXI1	4601	
TMPRSS11B	132724	
CHCHD1	118487	
TRIM15	89870	
OPRL1	4987	
SLC39A11	201266	
ATOH7	220202	
TMPRSS11E	28983	
LKAAEAR1	198437	
COPS3	8533	
RAB38	23682	
TNXB	7148	
SMARCC1	6599	
CDH5	1003	
SLFN12L	100506736	
CYP11B1	1584	00140+1.14.15.4
HAUS6	54801	
ABCB6	10058	
DNAI1	27019	
METTL16	79066	
TAB1	10454	04658+3.1.3.16
TAB1	10454	04660+3.1.3.16
DOC2A	8448	
GIPC1	10755	
U2AF1L5	102724594	
TCP10L	140290	
C21orf59-TCP10L	110091775	
JPH2	57158	
